time,x-axis,y-axis,z-axis
10.620356,0.4563,0.5172,-0.3496
10.636924,0.0236,0.6045,-0.5704
10.653965,-0.5562,0.4345,-0.9307
10.670843,-1.3002,-0.0045,-1.0719
10.687893,-2.0463,-0.2682,-0.9103
10.705199,-1.9847,-0.2415,-0.3726
10.72277,-1.2318,0.0201,-0.3619
10.739175,-0.4122,0.3681,-0.37
10.756103,0.2321,0.8299,0.009
10.773134,0.7454,1.313,0.4709
10.79021,1.1712,1.6332,0.7329
10.807229,1.3317,1.8042,0.787
10.825126,1.2445,1.7888,0.7826
10.848016,0.935,1.6687,0.7681
10.858365,0.6006,1.2948,0.7161
10.875479,0.7974,0.1251,0.8384
10.892355,1.8526,-2.0545,0.5219
10.909533,3.3664,-3.9889,-1.078
10.926879,4.2805,-5.0392,-3.2655
10.943412,3.648,-5.5641,-3.5189
10.960911,2.0171,-5.6128,-1.3224
10.977519,0.184,-3.068,1.7317
10.994828,-0.4583,0.7225,3.4084
11.011881,-0.2431,4.0425,4.9058
11.028654,-0.2655,5.5852,5.1184
11.045936,-1.5692,3.5826,3.9882
11.0627,-2.6295,-0.5693,2.4185
11.079705,-2.1048,-3.6221,0.9536
11.096857,-1.0752,-3.7235,-0.63
11.114442,-0.1586,-1.075,-0.6277
11.131456,0.2834,0.9398,0.2895
11.148068,0.5215,1.5567,0.544
11.165165,0.7406,1.1172,0.0538
